Draft_Year,Player,Pos,wAV,DrAV,G,College_Univ,Prospect_Grade,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G_college,Rec,Yds,Y/R,TD,Y/G,Att,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college,G_college,Rec_college,Yds_college,Y/R_college,TD_college,Y/G_college,Att_college
2019,N'Keal Harry,WR,7.0,6.0,49.0,Arizona St.,6.3,6-2,228.0,4.53,38.5,27.0,122.0,,,37.0,213.0,2889.0,13.6,22.0,78.1,23.0,37.0,213.0,2889.0,13.6,22.0,78.1,23.0,37.0,213.0,2889.0,13.6,22.0,78.1,23.0,37.0,213.0,2889.0,13.6,22.0,78.1,23.0,37.0,213.0,2889.0,13.6,22.0,78.1,23.0,37.0,213.0,2889.0,13.6,22.0,78.1,23.0
2019,Deebo Samuel,WR,47.0,47.0,81.0,South Carolina,6.4,5-11,214.0,4.48,39.0,15.0,122.0,7.03,4.14,30.0,148.0,2076.0,14.0,16.0,69.2,25.0,30.0,148.0,2076.0,14.0,16.0,69.2,25.0,30.0,148.0,2076.0,14.0,16.0,69.2,25.0,30.0,148.0,2076.0,14.0,16.0,69.2,25.0,30.0,148.0,2076.0,14.0,16.0,69.2,25.0,30.0,148.0,2076.0,14.0,16.0,69.2,25.0
2019,A.J. Brown,WR,66.0,26.0,90.0,Mississippi,6.7,6-0,226.0,4.49,36.5,19.0,120.0,,,36.0,189.0,2984.0,15.8,19.0,82.9,0.0,36.0,189.0,2984.0,15.8,19.0,82.9,0.0,36.0,189.0,2984.0,15.8,19.0,82.9,0.0,36.0,189.0,2984.0,15.8,19.0,82.9,0.0,36.0,189.0,2984.0,15.8,19.0,82.9,0.0,36.0,189.0,2984.0,15.8,19.0,82.9,0.0
2019,Mecole Hardman,WR,23.0,23.0,80.0,Georgia,6.2,5-10,187.0,4.33,36.5,17.0,119.0,,,40.0,59.0,950.0,16.1,11.0,23.8,13.0,40.0,59.0,950.0,16.1,11.0,23.8,13.0,40.0,59.0,950.0,16.1,11.0,23.8,13.0,40.0,59.0,950.0,16.1,11.0,23.8,13.0,40.0,59.0,950.0,16.1,11.0,23.8,13.0,40.0,59.0,950.0,16.1,11.0,23.8,13.0
2019,JJ Arcega-Whiteside,WR,2.0,2.0,40.0,Stanford,6.2,,,,,,,,,36.0,135.0,2219.0,16.4,28.0,61.6,0.0,36.0,135.0,2219.0,16.4,28.0,61.6,0.0,36.0,135.0,2219.0,16.4,28.0,61.6,0.0,36.0,135.0,2219.0,16.4,28.0,61.6,0.0,36.0,135.0,2219.0,16.4,28.0,61.6,0.0,36.0,135.0,2219.0,16.4,28.0,61.6,0.0
2019,Parris Campbell,WR,9.0,9.0,49.0,Ohio St.,6.7,6-0,205.0,4.31,40.0,11.0,135.0,,4.03,49.0,143.0,1768.0,12.4,15.0,36.1,23.0,49.0,143.0,1768.0,12.4,15.0,36.1,23.0,49.0,143.0,1768.0,12.4,15.0,36.1,23.0,49.0,143.0,1768.0,12.4,15.0,36.1,23.0,49.0,143.0,1768.0,12.4,15.0,36.1,23.0,49.0,143.0,1768.0,12.4,15.0,36.1,23.0
2019,Andy Isabella,WR,4.0,4.0,43.0,Massachusetts,6.1,5-9,188.0,4.31,36.5,15.0,121.0,6.95,4.15,45.0,231.0,3526.0,15.3,30.0,78.4,40.0,45.0,231.0,3526.0,15.3,30.0,78.4,40.0,45.0,231.0,3526.0,15.3,30.0,78.4,40.0,45.0,231.0,3526.0,15.3,30.0,78.4,40.0,45.0,231.0,3526.0,15.3,30.0,78.4,40.0,45.0,231.0,3526.0,15.3,30.0,78.4,40.0
2019,D.K. Metcalf,WR,51.0,51.0,97.0,Mississippi,6.8,6-3,228.0,4.33,40.5,27.0,134.0,7.38,4.5,21.0,67.0,1228.0,18.3,14.0,58.5,0.0,21.0,67.0,1228.0,18.3,14.0,58.5,0.0,21.0,67.0,1228.0,18.3,14.0,58.5,0.0,21.0,67.0,1228.0,18.3,14.0,58.5,0.0,21.0,67.0,1228.0,18.3,14.0,58.5,0.0,21.0,67.0,1228.0,18.3,14.0,58.5,0.0
2020,Henry Ruggs III,WR,8.0,8.0,20.0,Alabama,6.72,5-11,188.0,4.27,42.0,,131.0,,,41.0,98.0,1716.0,17.5,24.0,41.9,2.0,41.0,98.0,1716.0,17.5,24.0,41.9,2.0,41.0,98.0,1716.0,17.5,24.0,41.9,2.0,41.0,98.0,1716.0,17.5,24.0,41.9,2.0,41.0,98.0,1716.0,17.5,24.0,41.9,2.0,41.0,98.0,1716.0,17.5,24.0,41.9,2.0
2020,Jerry Jeudy,WR,28.0,22.0,74.0,Alabama,6.77,6-1,193.0,4.45,35.0,,120.0,,4.53,42.0,159.0,2742.0,17.2,26.0,65.3,1.0,42.0,159.0,2742.0,17.2,26.0,65.3,1.0,42.0,159.0,2742.0,17.2,26.0,65.3,1.0,42.0,159.0,2742.0,17.2,26.0,65.3,1.0,42.0,159.0,2742.0,17.2,26.0,65.3,1.0,42.0,159.0,2742.0,17.2,26.0,65.3,1.0
